what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332588659
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332590194
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.properties",1348332590929
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332591056
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332597366
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332599826
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332608766
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.properties",1348332629963
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332630067
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332634823
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1348332637441
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332637463
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332649137
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.properties",1348332696634
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332696736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332699198
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348332700414
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1348332700759
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1348332700805
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332708539
activated,view,org.eclipse.cdt.ui.tests,5.1.0.201002161416,"org.eclipse.cdt.ui.tests.DOMAST.DOMAST",1348332708656
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348332709260
activated,view,org.eclipse.cdt.ui.tests,5.1.0.201002161416,"org.eclipse.cdt.ui.tests.DOMAST.DOMAST",1348332710337
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348332710963
closed,view,org.eclipse.cdt.ui.tests,5.1.0.201002161416,"org.eclipse.cdt.ui.tests.DOMAST.DOMAST",1348332710975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332720123
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348332749294
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1348332751027
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1348332751058
